lucide	lucide-static	1.18.0	ISC	https://github.com/lucide-icons/lucide	1964
heroicons	heroicons	2.2.0	MIT	https://github.com/tailwindlabs/heroicons	1288
feather	feather-icons	4.29.2	MIT	https://github.com/feathericons/feather	287
tabler	@tabler/icons	3.44.0	MIT	https://github.com/tabler/tabler-icons	6146
bootstrap	bootstrap-icons	1.13.1	MIT	https://github.com/twbs/icons	2078
phosphor	@phosphor-icons/core	2.1.1	MIT	https://github.com/phosphor-icons/core	9072
remix	remixicon	4.9.1	Apache-2.0	https://github.com/Remix-Design/RemixIcon	3229
iconoir	iconoir	7.11.0	MIT	https://github.com/iconoir-icons/iconoir	1671
material-symbols	@material-symbols/svg-400	0.45.1	Apache-2.0	https://github.com/marella/material-symbols	23310
